,username,location,following,followers,totaltweets,whentweetcreated,retweets,text
2630,Abdullah_ErRais,,574,91,646,2021-01-02 15:23:21,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2631,eyupkaner,,344,439,328,2021-01-02 15:22:43,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2632,nlsnsy,,401,515,277,2021-01-02 15:20:13,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2633,yagmurdalmzz,"İstanbul, Türkiye",966,749,286,2021-01-02 15:19:32,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2634,Esrefulukurt,,202,28,1801,2021-01-02 15:19:12,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2635,cobandk,,426,489,304,2021-01-02 15:14:40,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2636,gnsakts1,,489,557,367,2021-01-02 15:11:24,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2637,serhatsirin21,,392,466,320,2021-01-02 15:01:08,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2638,evrmogz,,540,640,359,2021-01-02 14:58:43,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2649,mrsyildiz_,,739,829,1018,2021-01-02 14:21:03,0,o kadar güzel bir reklam kiiii 
2652,furkankarakusum,,5786,6189,17058,2021-01-02 14:07:50,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2653,azizzdnmz,"Bolu Merkez, Bolu",883,1804,8633,2021-01-02 14:02:54,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2654,BoraEmirhann,,18,5,53,2021-01-02 14:01:55,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2655,efsanbehiye,,653,207,467,2021-01-02 13:56:50,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2656,BusraKAROL,,109,202,854,2021-01-02 13:50:04,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2658,Emre70879505,,10,2,2,2021-01-02 13:42:44,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2659,KumSahan,,283,8,40,2021-01-02 13:23:36,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2660,eemirgann,,65,18,137,2021-01-02 13:22:08,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2662,parssalan,,264,138,4161,2021-01-02 13:15:30,0,kemal sunal gülüyor ama benim gözlerim doluyor
2663,srhtckmk35,,59,12,580,2021-01-02 13:15:18,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2665,baristw,🇹🇷,1697,1768,4161,2021-01-02 13:09:37,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2666,bavci61,Nederland,946,991,23528,2021-01-02 12:54:18,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2669,LordOfTheFlytes,🍀 ✨,91,2,219,2021-01-02 12:21:59,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2670,lolipopcoban,,321,623,12869,2021-01-02 12:11:50,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2671,Emrahezayah,,339,97,1709,2021-01-02 12:01:48,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
2678,enginyuksel1982,"Cerrahpaşa, İstanbul",602,623,117092,2021-01-02 11:35:09,560,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
